Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Bangu;2;1;0;60;1000.0;200.0;
Apartamento;Vila Isabel;2;1;0;83;1100.0;600.0;98.0
Apartamento;Campo Grande;2;1;0;50;700.0;300.0;
Apartamento;Itanhangá;2;1;0;54;800.0;763.0;27.0
Apartamento;Engenho Novo;2;1;1;50;980.0;486.0;
Apartamento;Catumbi;2;1;0;46;1150.0;170.0;
Apartamento;Pechincha;2;1;1;60;1000.0;480.0;
Apartamento;Cachambi;2;0;0;42;880.0;370.0;114.0
Apartamento;Campo Grande;2;1;0;60;800.0;;
Apartamento;Méier;2;1;0;66;1000.0;660.0;39.0
Apartamento;Parque Anchieta;2;1;0;75;1000.0;;
Apartamento;Barra da Tijuca;2;1;1;58;1150.0;700.0;91.0
Apartamento;Bonsucesso;2;0;0;75;1000.0;475.0;
Apartamento;Campo Grande;2;0;0;60;700.0;;
Apartamento;Irajá;2;0;0;48;600.0;200.0;
Apartamento;Engenho de Dentro;3;1;0;75;1000.0;650.0;
Apartamento;Méier;2;0;0;50;1000.0;322.0;16.0
Apartamento;Vila Valqueire;2;1;1;62;1000.0;700.0;
Apartamento;Quintino Bocaiúva;2;1;0;60;1000.0;;
Apartamento;Tomás Coelho;2;1;0;44;750.0;300.0;20.0
Apartamento;Cascadura;2;0;0;50;850.0;140.0;
Apartamento;Anil;2;1;0;56;1100.0;355.0;162.0
Apartamento;Jacarepaguá;2;1;0;60;1000.0;590.0;20.0
Apartamento;Pechincha;2;1;0;50;600.0;330.0;14.0
Apartamento;Pavuna;2;0;0;40;600.0;;
Apartamento;Taquara;2;1;0;53;1000.0;400.0;16.0
Apartamento;Vargem Pequena;2;1;0;45;1100.0;360.0;40.0
Apartamento;Taquara;2;1;0;50;850.0;450.0;12.0
Apartamento;Vila da Penha;2;1;0;62;1100.0;;
Apartamento;Campo Grande;2;0;0;60;700.0;;
Apartamento;Pavuna;2;1;0;45;800.0;266.0;
Apartamento;Freguesia (Jacarepaguá);2;1;0;52;1100.0;618.0;13.0
Apartamento;Méier;2;1;0;61;1100.0;516.0;742.0
Apartamento;Jacarepaguá;2;0;0;44;850.0;260.0;13.0
Apartamento;Tijuca;2;0;0;40;1100.0;742.0;20.0
Apartamento;Santa Cruz;2;0;0;60;600.0;110.0;
Apartamento;Vila da Penha;2;0;0;94;900.0;309.0;
Apartamento;Cachambi;2;1;0;63;900.0;555.0;
Apartamento;Praça Seca;3;1;0;57;550.0;274.0;13.0
Apartamento;Guadalupe;2;0;0;57;950.0;;
Apartamento;Campo Grande;2;1;0;60;900.0;308.0;
Apartamento;Camorim;2;1;0;50;900.0;350.0;16.0
Apartamento;Cachambi;2;1;0;50;900.0;450.0;135.0
Apartamento;Camorim;2;1;1;50;1000.0;420.0;30.0
Apartamento;Tijuca;2;1;0;86;1100.0;534.0;
Apartamento;Guadalupe;2;0;0;58;850.0;;
Apartamento;Engenho Novo;2;1;0;84;700.0;700.0;37.0
Apartamento;Pilares;2;0;0;60;900.0;25.0;
Apartamento;Encantado;2;1;0;55;1000.0;519.0;17.0
Apartamento;Taquara;2;1;0;50;1000.0;268.0;
Apartamento;Campo Grande;2;1;1;69;1195.0;450.0;20.0
Apartamento;Engenho de Dentro;2;1;1;50;1100.0;516.0;
Apartamento;Camorim;2;1;0;55;800.0;370.0;16.0
Apartamento;Higienópolis;2;0;1;48;1100.0;200.0;
Apartamento;Jabour;2;1;0;71;610.0;590.0;
Apartamento;Taquara;2;1;0;50;850.0;260.0;
Apartamento;Irajá;2;0;0;50;750.0;;
Apartamento;Vila Isabel;2;1;0;62;1100.0;617.0;21.0
Apartamento;Taquara;2;1;0;60;750.0;290.0;15.0
Apartamento;Jacarepaguá;2;1;1;80;1150.0;872.0;40.0
Apartamento;São Francisco Xavier;2;1;0;48;950.0;491.0;36.0
Apartamento;Cachambi;2;0;0;59;1100.0;650.0;50.0
Apartamento;Barra da Tijuca;2;1;0;52;1100.0;620.0;
Apartamento;Ramos;2;0;0;49;800.0;;
Apartamento;Ramos;2;1;0;65;700.0;400.0;
Apartamento;São Cristóvão;2;0;0;46;1100.0;395.0;15.0
Apartamento;Campo Grande;2;0;0;60;450.0;170.0;
Apartamento;Bonsucesso;3;0;0;66;1000.0;150.0;
Apartamento;Engenho de Dentro;2;0;0;65;950.0;480.0;
Apartamento;Irajá;2;1;1;50;1000.0;442.0;
Apartamento;Vaz Lobo;2;1;0;50;750.0;460.0;
Apartamento;Campo Grande;2;1;0;50;900.0;;
Apartamento;Curicica;2;1;0;55;800.0;350.0;16.0
Apartamento;Lins de Vasconcelos;2;0;0;80;900.0;539.0;13.0
Apartamento;Olaria;2;0;0;54;900.0;;
Apartamento;Cordovil;2;0;0;65;1100.0;50.0;
Apartamento;Pechincha;3;1;1;90;1000.0;800.0;120.0
Apartamento;Praça Seca;2;0;0;48;950.0;160.0;12.0
Apartamento;Campo Grande;2;1;0;52;850.0;280.0;
Apartamento;Irajá;2;1;0;50;900.0;460.0;
Apartamento;Padre Miguel;2;1;0;50;800.0;273.0;
Apartamento;Tomás Coelho;2;0;0;70;760.0;150.0;
Apartamento;Praça Seca;2;0;1;62;1100.0;440.0;
Apartamento;Praça Seca;2;1;0;50;750.0;260.0;13.0
Apartamento;São Cristóvão;2;0;0;50;1000.0;320.0;
Apartamento;Recreio dos Bandeirantes;2;1;0;70;1050.0;500.0;60.0
Apartamento;Vargem Pequena;3;0;0;53;1000.0;382.0;
Apartamento;Taquara;2;1;1;50;1000.0;450.0;18.0
Apartamento;Barra da Tijuca;2;1;2;80;1000.0;1183.0;
Apartamento;São Francisco Xavier;2;1;0;66;850.0;401.0;
Apartamento;Itanhangá;2;1;0;65;1100.0;550.0;34.0
Apartamento;Méier;3;0;0;59;1050.0;230.0;25.0
Apartamento;Pechincha;3;1;1;85;1050.0;982.0;102.0
Apartamento;Taquara;2;1;0;55;1000.0;460.0;40.0
Apartamento;Praça Seca;2;1;1;64;1100.0;360.0;
Apartamento;Méier;2;1;0;63;950.0;600.0;37.0
Apartamento;Paciência;2;1;0;48;600.0;230.0;
Apartamento;Bonsucesso;2;0;0;75;900.0;640.0;
Apartamento;Irajá;2;1;0;45;1000.0;371.0;
Apartamento;Bonsucesso;2;0;0;67;800.0;484.0;
Apartamento;Andaraí;2;1;0;63;1100.0;450.0;24.0
Apartamento;Méier;2;1;0;60;1100.0;570.0;37.0
Apartamento;Freguesia (Jacarepaguá);2;1;0;59;900.0;575.0;14.0
Apartamento;Engenho Novo;2;0;0;65;990.0;590.0;
Apartamento;Engenho Novo;3;1;0;55;1000.0;700.0;
Apartamento;Madureira;2;0;0;50;700.0;480.0;
Apartamento;Méier;2;0;0;42;750.0;359.0;17.0
Apartamento;Engenho Novo;2;0;0;68;800.0;440.0;
Apartamento;Olaria;2;0;1;60;900.0;;
Apartamento;Colégio;2;1;0;75;990.0;;
Apartamento;Campo Grande;2;0;0;60;750.0;210.0;
Apartamento;São Francisco Xavier;2;1;1;54;1000.0;540.0;
Apartamento;Vila da Penha;2;0;0;60;950.0;30.0;
Apartamento;Campo Grande;3;1;0;65;900.0;130.0;
Apartamento;Vaz Lobo;2;0;0;60;680.0;198.0;
Apartamento;Campo Grande;2;1;1;60;800.0;180.0;
Apartamento;Bento Ribeiro;2;0;0;50;930.0;140.0;
Apartamento;Engenho de Dentro;2;1;0;50;1100.0;240.0;13.0
Apartamento;Madureira;2;1;0;60;1000.0;;
Apartamento;Todos os Santos;2;1;0;55;1100.0;260.0;
Apartamento;Campo Grande;2;1;0;60;750.0;215.0;
Apartamento;Cachambi;2;0;0;51;950.0;300.0;16.0
Apartamento;Vila Valqueire;2;1;0;72;800.0;150.0;12.0
Apartamento;Cachambi;2;1;0;60;950.0;652.0;
Apartamento;Campo Grande;2;0;0;66;950.0;75.0;
Apartamento;Campo Grande;3;1;0;56;900.0;780.0;
Apartamento;Campo Grande;2;0;0;80;1100.0;;
Apartamento;Méier;2;1;0;65;1100.0;765.0;
Apartamento;Pechincha;2;1;0;58;750.0;475.0;17.0
Apartamento;Campo Grande;3;1;0;65;900.0;130.0;
Apartamento;Piedade;3;0;0;75;950.0;87.0;14.0
Apartamento;Ilha do Governador;2;1;0;60;1000.0;396.0;21.0
Apartamento;Guadalupe;2;0;0;40;850.0;;
Apartamento;Campo Grande;2;1;0;60;900.0;600.0;
Apartamento;Abolição;2;2;0;81;850.0;350.0;49.0
Apartamento;Praça Seca;2;1;1;58;1100.0;490.0;70.0
Apartamento;Pavuna;2;1;0;40;750.0;100.0;
Apartamento;Campo Grande;2;1;0;65;800.0;330.0;
Apartamento;Vila da Penha;2;1;0;80;1100.0;380.0;
Apartamento;Taquara;2;0;2;65;1100.0;30.0;
Apartamento;Jardim Sulacap;2;0;0;58;1000.0;366.0;
Apartamento;Vila da Penha;2;1;0;48;1000.0;250.0;
Apartamento;São Francisco Xavier;2;2;0;74;1100.0;750.0;13.0
Apartamento;Oswaldo Cruz;2;1;1;84;950.0;320.0;
Apartamento;Pechincha;2;1;0;55;1150.0;630.0;10.0
Apartamento;Rio Comprido;2;0;0;68;1000.0;580.0;15.0
Apartamento;Higienópolis;2;0;0;60;850.0;230.0;
Apartamento;Vila Valqueire;2;1;0;90;1000.0;345.0;
Apartamento;Inhaúma;2;1;0;60;750.0;250.0;
Apartamento;Pechincha;2;1;0;60;1150.0;640.0;
Apartamento;Campo Grande;2;1;0;43;900.0;220.0;
Apartamento;Santa Teresa;2;0;0;65;1000.0;420.0;12.0
Apartamento;Todos os Santos;2;0;0;52;1100.0;130.0;
Apartamento;Itanhangá;2;0;0;58;750.0;638.0;27.0
Apartamento;Taquara;2;1;0;55;850.0;550.0;20.0
Apartamento;Taquara;2;1;1;60;866.0;580.0;13.0
Apartamento;Gamboa;2;0;0;35;850.0;90.0;
Apartamento;Olaria;2;1;0;53;850.0;320.0;25.0
Apartamento;Taquara;3;1;0;60;1100.0;441.0;345.0
Apartamento;Campo Grande;2;1;0;48;700.0;300.0;
Apartamento;Del Castilho;2;0;0;53;890.0;280.0;
Apartamento;Jacarepaguá;2;1;0;54;800.0;300.0;
Apartamento;Cascadura;2;0;0;57;1000.0;;
Apartamento;Curicica;2;1;0;49;1000.0;400.0;
Apartamento;Vila Isabel;2;0;0;59;1100.0;747.0;
